4.1.1,image-mysid-jro03o,/dev/audience_a1026*,0660,system,audio
4.1.1,image-mysid-jro03o,/dev/cdma_rfs0,0660,radio,radio
4.1.1,image-mysid-jro03o,/dev/bus/usb/*,0660,root,usb
4.1.1,image-mysid-jro03o,/dev/ppp,0660,radio,vpn
4.1.1,image-mysid-jro03o,/dev/diag_arm9,0660,radio,radio
4.1.1,image-mysid-jro03o,/dev/akm8976_daemon,0640,compass,system
4.1.1,image-mysid-jro03o,/dev/cm3602,0640,compass,system
4.1.1,image-mysid-jro03o,/dev/akm8976_aot,0640,compass,system
4.1.1,image-mysid-jro03o,/dev/ptmx,0666,root,root
4.1.1,image-mysid-jro03o,/dev/graphics/*,0660,root,graphics
4.1.1,image-mysid-jro03o,/dev/bma150,0640,compass,system
4.1.1,image-mysid-jro03o,/dev/eac,0660,root,audio
4.1.1,image-mysid-jro03o,/dev/kgsl,0666,root,root
4.1.1,image-mysid-jro03o,/dev/input/*,0660,root,input
4.1.1,image-mysid-jro03o,/dev/block/mmcblk0p4,0660,radio,radio
4.1.1,image-mysid-jro03o,/dev/akm8973_aot,0640,compass,system
4.1.1,image-mysid-jro03o,/dev/pmem,0660,system,graphics
4.1.1,image-mysid-jro03o,/dev/ashmem,0666,root,root
4.1.1,image-mysid-jro03o,/dev/ttyGS1,0660,radio,radio
4.1.1,image-mysid-jro03o,/dev/qmi2,0640,radio,radio
4.1.1,image-mysid-jro03o,/dev/qmi1,0640,radio,radio
4.1.1,image-mysid-jro03o,/dev/qmi0,0640,radio,radio
4.1.1,image-mysid-jro03o,/dev/null,0666,root,root
4.1.1,image-mysid-jro03o,/dev/msm_pcm_ctl*,0660,system,audio
4.1.1,image-mysid-jro03o,/dev/cdma_ramdump0,0660,radio,radio
4.1.1,image-mysid-jro03o,/dev/binder,0666,root,root
4.1.1,image-mysid-jro03o,/dev/msm_snd*,0660,system,audio
4.1.1,image-mysid-jro03o,/dev/adsp/*,0660,system,audio
4.1.1,image-mysid-jro03o,/dev/lte_rmnet4,0660,radio,radio
4.1.2,image-takju-jzo54k,/dev/accelirq,0660,system,system
4.1.2,image-takju-jzo54k,/dev/lightsensor,0640,system,system
4.1.2,image-takju-jzo54k,/dev/ttyMSM0,0600,bluetooth,bluetooth
4.1.2,image-takju-jzo54k,/dev/lte_ipc0,0660,radio,radio
4.1.2,image-takju-jzo54k,/dev/ttyO0,0660,system,radio
4.1.2,image-takju-jzo54k,/dev/akm8973_daemon,0640,compass,system
4.1.2,image-takju-jzo54k,/dev/qmi,0640,radio,radio
4.1.2,image-takju-jzo54k,/dev/mtp_usb,0660,root,mtp
4.1.2,image-takju-jzo54k,/dev/msm_audpre,0660,system,audio
4.1.2,image-takju-jzo54k,/dev/block/mmcblk0p9,0660,radio,radio
4.1.2,image-takju-jzo54k,/dev/dsscomp,0660,system,system
4.1.2,image-takju-jzo54k,/dev/smd0,0640,radio,radio
4.1.2,image-takju-jzo54k,/dev/mt9t013,0660,system,system
4.1.2,image-takju-jzo54k,/dev/ts0710mux*,0640,radio,radio
4.1.2,image-takju-jzo54k,/dev/tty0,0660,root,system
4.1.2,image-takju-jzo54k,/dev/q6venc,0660,system,audio
4.1.2,image-takju-jzo54k,/dev/qemu_pipe,0666,system,system
4.1.2,image-takju-jzo54k,/dev/umts_ramdump0,0660,radio,radio
4.1.2,image-takju-jzo54k,/dev/lte_boot0,0660,radio,radio
4.1.2,image-takju-jzo54k,/dev/qemu_trace,0666,system,system
4.1.2,image-takju-jzo54k,/dev/snd/*,0660,system,audio
4.1.2,image-takju-jzo54k,/dev/snd/dsp,0660,system,audio
4.1.2,image-takju-jzo54k,/dev/alarm,0664,system,radio
4.1.2,image-takju-jzo54k,/dev/lte_rfs0,0660,radio,radio
4.1.2,image-takju-jzo54k,/dev/msm_camera/*,0660,system,system
4.1.2,image-takju-jzo54k,/dev/msm_pcm_out*,0660,system,audio
4.1.2,image-takju-jzo54k,/dev/modem_br,0660,radio,radio
4.1.2,image-takju-jzo54k,/dev/snd/dsp1,0660,system,audio
4.1.2,image-takju-jzo54k,/dev/zero,0666,root,root
4.1.2,image-takju-jzo54k,/dev/cdma_rmnet6,0660,radio,radio
4.1.2,image-takju-jzo54k,/dev/cdma_rmnet5,0660,radio,radio
4.1.2,image-takju-jzo54k,/dev/umts_ipc0,0660,radio,radio
4.1.2,image-takju-jzo54k,/dev/msm_hw3dm,0660,system,graphics
4.1.2,image-takju-jzo54k,/dev/tiler,0666,system,system
4.1.2,image-takju-jzo54k,/dev/umts_rfs0,0660,radio,radio
4.1.2,image-takju-jzo54k,/dev/tun,0660,system,vpn
4.1.2,image-takju-jzo54k,/dev/msm_hw3dc,0666,root,root
4.1.2,image-takju-jzo54k,/dev/urandom,0666,root,root
4.1.2,image-takju-jzo54k,/dev/uinput,0660,system,bluetooth
4.1.2,image-takju-jzo54k,/dev/tpa2018d1*,0660,system,audio
4.1.2,image-takju-jzo54k,/dev/oncrpc/*,0660,root,system
4.1.2,image-takju-jzo54k,/dev/cam,0660,root,camera
4.1.2,image-takju-jzo54k,/dev/usb_accessory,0660,root,usb
4.1.2,image-takju-jzo54k,/dev/akm8976_pffd,0640,compass,system
