3IE-S7710XXAMD2-20130426165153,/dev/accelirq,660,system,system,,,,,
3IE-S7710XXAMD2-20130426165153,/dev/adsp/*,660,system,audio,660,system,audio,,
3IE-S7710XXAMD2-20130426165153,/dev/akm8973_aot,640,compass,system,640,compass,system,,
3IE-S7710XXAMD2-20130426165153,/dev/akm8973_daemon,640,compass,system,640,compass,system,,
3IE-S7710XXAMD2-20130426165153,/dev/akm8976_aot,640,compass,system,640,compass,system,,
3IE-S7710XXAMD2-20130426165153,/dev/akm8976_daemon,640,compass,system,640,compass,system,,
3IE-S7710XXAMD2-20130426165153,/dev/akm8976_pffd,640,compass,system,640,compass,system,,
3IE-S7710XXAMD2-20130426165153,/dev/alarm,664,system,radio,664,system,radio,,
3IE-S7710XXAMD2-20130426165153,/dev/alps_io,,,,660,root,system,1,
3IE-S7710XXAMD2-20130426165153,/dev/android_adb,660,adb,adb,660,adb,adb,,
3IE-S7710XXAMD2-20130426165153,/dev/android_adb_enable,660,adb,adb,660,adb,adb,,
3IE-S7710XXAMD2-20130426165153,/dev/ape_opp,,,,660,media,system,1,
3IE-S7710XXAMD2-20130426165153,/dev/ashmem,666,root,root,666,root,root,,1
3IE-S7710XXAMD2-20130426165153,/dev/audience_a1026*,660,system,audio,660,system,audio,,
3IE-S7710XXAMD2-20130426165153,/dev/b2r2_blt,,,,666,system,graphics,1,1
3IE-S7710XXAMD2-20130426165153,/dev/binder,666,root,root,666,root,root,,1
3IE-S7710XXAMD2-20130426165153,/dev/block/mmcblk0p19,,,,660,system,system,1,
3IE-S7710XXAMD2-20130426165153,/dev/block/mmcblk0p4,660,radio,radio,,,,,
3IE-S7710XXAMD2-20130426165153,/dev/block/mmcblk0p9,660,radio,radio,,,,,
3IE-S7710XXAMD2-20130426165153,/dev/bma150,640,compass,system,640,compass,system,,
3IE-S7710XXAMD2-20130426165153,/dev/bus/usb/*,660,root,usb,660,root,usb,,
3IE-S7710XXAMD2-20130426165153,/dev/cam,660,root,camera,660,root,camera,,
3IE-S7710XXAMD2-20130426165153,/dev/camera_flash,,,,660,media,system,1,
3IE-S7710XXAMD2-20130426165153,/dev/cdma_boot0,660,radio,radio,,,,,
3IE-S7710XXAMD2-20130426165153,/dev/cdma_ipc0,660,radio,radio,,,,,
3IE-S7710XXAMD2-20130426165153,/dev/cdma_ramdump0,660,radio,radio,,,,,
3IE-S7710XXAMD2-20130426165153,/dev/cdma_rfs0,660,radio,radio,,,,,
3IE-S7710XXAMD2-20130426165153,/dev/cdma_rmnet5,660,radio,radio,,,,,
